id,name,reaction_count,associated_reactions
BSU32450,pucL,1,URIC
BSU23500,drm,2,"PPM2, PPM"
BSU22610,tyrA,1,PPND
BSU27900,pheA,1,PPNDH
BSU16510,pyrH,2,"URIDK2r_copy1, UMPK"
BSU10140,hemY,1,PPPGO
BSU18830,pps,1,PPS
BSU32510,pucA,2,"HXAND, XAND"
BSU06530,purD,1,PRAGSr
BSU32480,pucD,2,"HXAND, XAND"
BSU32470,pucE,2,"HXAND, XAND"
BSU22650,trpF,1,PRAIi
BSU32490,pucC,2,"HXAND, XAND"
BSU06500,purM,1,PRAIS_1
BSU32500,pucB,2,"HXAND, XAND"
BSU34860,hisI,2,"PRAMPC_1, PRATPP"
BSU06450,purC,1,PRASCSi
